,strike,ask,bid,impliedVolatility,type,maturityDate,maturity,optionPrice
140,43.0,0.73,0.0,0.40210558837890625,call,2021-01-15,0.9682539682539683,0.365
141,44.0,0.25,0.08,0.317389638671875,call,2021-01-15,0.9682539682539683,0.165
142,45.0,0.84,0.0,0.4514215014648438,call,2021-01-15,0.9682539682539683,0.42
143,46.0,0.79,0.08,0.4580132324218751,call,2021-01-15,0.9682539682539683,0.435
144,47.0,0.27,0.15,0.36133451171875,call,2021-01-15,0.9682539682539683,0.21000000000000002
145,48.0,0.71,0.13,0.471684970703125,call,2021-01-15,0.9682539682539683,0.42
146,52.0,0.0,0.0,0.12500875,call,2021-01-15,0.9682539682539683,0.0
147,15.0,0.35,0.19,0.5488326367187502,put,2021-01-15,0.9682539682539683,0.27
148,20.0,0.78,0.59,0.47461462890625,put,2021-01-15,0.9682539682539683,0.685
149,22.0,1.18,0.79,0.4587456469726563,put,2021-01-15,0.9682539682539683,0.985
150,23.0,1.07,0.88,0.39600213378906257,put,2021-01-15,0.9682539682539683,0.9750000000000001
151,24.0,0.94,0.38,0.3332586206054688,put,2021-01-15,0.9682539682539683,0.6599999999999999
152,25.0,1.64,1.39,0.3874572973632812,put,2021-01-15,0.9682539682539683,1.515
153,26.0,1.9,1.64,0.37256486816406253,put,2021-01-15,0.9682539682539683,1.77
154,27.0,2.19,1.95,0.35742830078125,put,2021-01-15,0.9682539682539683,2.07
155,28.0,2.53,2.29,0.34400070068359373,put,2021-01-15,0.9682539682539683,2.41
156,29.0,2.93,2.66,0.3327703442382813,put,2021-01-15,0.9682539682539683,2.795
157,30.0,3.35,3.1,0.3186103295898437,put,2021-01-15,0.9682539682539683,3.225
158,31.0,3.9,3.6,0.31323928955078123,put,2021-01-15,0.9682539682539683,3.75
159,32.0,4.65,4.15,0.3238593005371093,put,2021-01-15,0.9682539682539683,4.4
160,33.0,5.1,4.8,0.29761444580078117,put,2021-01-15,0.9682539682539683,4.949999999999999
161,34.0,5.45,4.7,0.2512281909179687,put,2021-01-15,0.9682539682539683,5.075
162,35.0,6.5,6.1,0.2829661547851562,put,2021-01-15,0.9682539682539683,6.3
